step           time         Umax       divMax           dU  ItrP          ResP
1830   1.143750e+01   1.0000e+00   8.2916e+00   1.8449e-05   103   9.77450e-06
1840   1.150000e+01   1.0000e+00   8.2916e+00   1.7716e-05   103   9.77453e-06
1850   1.156250e+01   1.0000e+00   8.2916e+00   1.7011e-05   103   9.77456e-06
1860   1.162500e+01   1.0000e+00   8.2916e+00   1.6335e-05   103   9.77458e-06
1870   1.168750e+01   1.0000e+00   8.2916e+00   1.5685e-05   103   9.77461e-06
1880   1.175000e+01   1.0000e+00   8.2916e+00   1.5062e-05   103   9.77463e-06
1890   1.181250e+01   1.0000e+00   8.2916e+00   1.4463e-05   103   9.77466e-06
1900   1.187500e+01   1.0000e+00   8.2916e+00   1.3888e-05   103   9.77468e-06
1910   1.193750e+01   1.0000e+00   8.2916e+00   1.3336e-05   103   9.77470e-06
1920   1.200000e+01   1.0000e+00   8.2916e+00   1.2805e-05   103   9.77472e-06
1930   1.206250e+01   1.0000e+00   8.2916e+00   1.2296e-05   103   9.77474e-06
1940   1.212500e+01   1.0000e+00   8.2916e+00   1.1807e-05   103   9.77476e-06
1950   1.218750e+01   1.0000e+00   8.2916e+00   1.1338e-05   103   9.77478e-06
1960   1.225000e+01   1.0000e+00   8.2916e+00   1.0887e-05   103   9.77479e-06
1970   1.231250e+01   1.0000e+00   8.2916e+00   1.0454e-05   103   9.77481e-06
1980   1.237500e+01   1.0000e+00   8.2916e+00   1.0038e-05   103   9.77483e-06
1990   1.243750e+01   1.0000e+00   8.2916e+00   9.6390e-06   103   9.77484e-06
2000   1.250000e+01   1.0000e+00   8.2916e+00   9.2557e-06   103   9.77486e-06
