step           time         Umax       divMax   Loc(i,j,k)           dU  ItrP          ResP
1490   9.312500e+00   1.0000e+00   1.4022e-03   (34,22,34)   9.3294e-05    21   9.55183e-04
1500   9.375000e+00   1.0000e+00   1.4022e-03   (34,22,34)   8.8929e-05    21   9.55185e-04
1510   9.437500e+00   1.0000e+00   1.4022e-03   (34,22,34)   8.4768e-05    21   9.55187e-04
1520   9.500000e+00   1.0000e+00   1.4022e-03   (34,22,34)   8.0802e-05    21   9.55189e-04
1530   9.562500e+00   1.0000e+00   1.4022e-03   (34,22,34)   7.7022e-05    21   9.55190e-04
1540   9.625000e+00   1.0000e+00   1.4022e-03   (34,22,34)   7.3419e-05    21   9.55192e-04
1550   9.687500e+00   1.0000e+00   1.4022e-03   (34,22,34)   6.9984e-05    21   9.55193e-04
1560   9.750000e+00   1.0000e+00   1.4022e-03   (34,22,34)   6.6710e-05    21   9.55194e-04
1570   9.812500e+00   1.0000e+00   1.4022e-03   (34,22,34)   6.3590e-05    21   9.55196e-04
1580   9.875000e+00   1.0000e+00   1.4022e-03   (34,22,34)   6.0615e-05    21   9.55197e-04
1590   9.937500e+00   1.0000e+00   1.4022e-03   (34,22,34)   5.7780e-05    21   9.55198e-04
1600   1.000000e+01   1.0000e+00   1.4022e-03   (34,22,34)   5.5077e-05    21   9.55199e-04
1610   1.006250e+01   1.0000e+00   1.4022e-03   (34,22,34)   5.2501e-05    21   9.55200e-04
1620   1.012500e+01   1.0000e+00   1.4022e-03   (34,22,34)   5.0046e-05    21   9.55201e-04
1630   1.018750e+01   1.0000e+00   1.4022e-03   (34,22,34)   4.7705e-05    21   9.55202e-04
1640   1.025000e+01   1.0000e+00   1.4022e-03   (34,22,34)   4.5474e-05    21   9.55203e-04
1650   1.031250e+01   1.0000e+00   1.4022e-03   (34,22,34)   4.3347e-05    21   9.55204e-04
1660   1.037500e+01   1.0000e+00   1.4023e-03   (34,22,34)   4.1320e-05    21   9.55205e-04
1670   1.043750e+01   1.0000e+00   1.4023e-03   (34,22,34)   3.9388e-05    21   9.55206e-04
1680   1.050000e+01   1.0000e+00   1.4023e-03   (34,22,34)   3.7546e-05    21   9.55206e-04
1690   1.056250e+01   1.0000e+00   1.4023e-03   (34,22,34)   3.5790e-05    21   9.55207e-04
1700   1.062500e+01   1.0000e+00   1.4023e-03   (34,22,34)   3.4117e-05    21   9.55208e-04
1710   1.068750e+01   1.0000e+00   1.4023e-03   (34,22,34)   3.2522e-05    21   9.55209e-04
1720   1.075000e+01   1.0000e+00   1.4023e-03   (34,22,34)   3.1001e-05    21   9.55209e-04
1730   1.081250e+01   1.0000e+00   1.4023e-03   (34,22,34)   2.9552e-05    21   9.55210e-04
