step           time         Umax       divMax   Loc(i,j,k)           dU  ItrP          ResP
1810   1.131250e+01   1.0000e+00   1.0186e-03   (34,16,34)   2.0147e-05    14   9.91993e-04
1820   1.137500e+01   1.0000e+00   1.0186e-03   (34,16,34)   1.9205e-05    14   9.91993e-04
1830   1.143750e+01   1.0000e+00   1.0186e-03   (34,16,34)   1.8308e-05    14   9.91994e-04
1840   1.150000e+01   1.0000e+00   1.0186e-03   (34,16,34)   1.7452e-05    14   9.91994e-04
1850   1.156250e+01   1.0000e+00   1.0186e-03   (34,16,34)   1.6636e-05    14   9.91994e-04
1860   1.162500e+01   1.0000e+00   1.0186e-03   (34,16,34)   1.5859e-05    14   9.91995e-04
1870   1.168750e+01   1.0000e+00   1.0186e-03   (34,16,34)   1.5118e-05    14   9.91995e-04
1880   1.175000e+01   1.0000e+00   1.0186e-03   (34,16,34)   1.4411e-05    14   9.91995e-04
1890   1.181250e+01   1.0000e+00   1.0186e-03   (34,16,34)   1.3738e-05    14   9.91995e-04
1900   1.187500e+01   1.0000e+00   1.0186e-03   (34,16,34)   1.3096e-05    14   9.91996e-04
1910   1.193750e+01   1.0000e+00   1.0186e-03   (34,16,34)   1.2483e-05    14   9.91996e-04
1920   1.200000e+01   1.0000e+00   1.0186e-03   (34,16,34)   1.1900e-05    14   9.91996e-04
1930   1.206250e+01   1.0000e+00   1.0186e-03   (34,16,34)   1.1344e-05    14   9.91996e-04
1940   1.212500e+01   1.0000e+00   1.0186e-03   (34,16,34)   1.0814e-05    14   9.91997e-04
1950   1.218750e+01   1.0000e+00   1.0186e-03   (34,16,34)   1.0309e-05    14   9.91997e-04
1960   1.225000e+01   1.0000e+00   1.0186e-03   (34,16,34)   9.8268e-06    14   9.91997e-04
1970   1.231250e+01   1.0000e+00   1.0186e-03   (34,16,34)   9.3676e-06    14   9.91997e-04
1980   1.237500e+01   1.0000e+00   1.0186e-03   (34,16,34)   8.9299e-06    14   9.91997e-04
1990   1.243750e+01   1.0000e+00   1.0186e-03   (34,16,34)   8.5126e-06    14   9.91997e-04
2000   1.250000e+01   1.0000e+00   1.0186e-03   (34,16,34)   8.1149e-06    14   9.91998e-04
