step           time         Umax       divMax           dU  ItrP          ResP
1190   7.437500e+00   1.0000e+00   4.0072e+00   4.5849e-03    82   9.70817e-06
1200   7.500000e+00   1.0000e+00   4.0072e+00   4.5320e-03    82   9.71683e-06
1210   7.562500e+00   1.0000e+00   4.0072e+00   4.4804e-03    82   9.72545e-06
1220   7.625000e+00   1.0000e+00   4.0072e+00   4.4301e-03    82   9.73403e-06
1230   7.687500e+00   1.0000e+00   4.0072e+00   4.3811e-03    82   9.74258e-06
1240   7.750000e+00   1.0000e+00   4.0072e+00   4.3332e-03    82   9.75108e-06
1250   7.812500e+00   1.0000e+00   4.0072e+00   4.2864e-03    82   9.75954e-06
1260   7.875000e+00   1.0000e+00   4.0073e+00   4.2408e-03    82   9.76796e-06
1270   7.937500e+00   1.0000e+00   4.0073e+00   4.1962e-03    82   9.77633e-06
1280   8.000000e+00   1.0000e+00   4.0074e+00   4.1526e-03    82   9.78466e-06
1290   8.062500e+00   1.0000e+00   4.0075e+00   4.1100e-03    82   9.79294e-06
1300   8.125000e+00   1.0000e+00   4.0076e+00   4.0683e-03    82   9.80117e-06
1310   8.187500e+00   1.0000e+00   4.0077e+00   4.0275e-03    82   9.80935e-06
1320   8.250000e+00   1.0000e+00   4.0078e+00   3.9876e-03    82   9.81747e-06
1330   8.312500e+00   1.0000e+00   4.0079e+00   3.9486e-03    82   9.82554e-06
1340   8.375000e+00   1.0000e+00   4.0080e+00   3.9103e-03    82   9.83356e-06
1350   8.437500e+00   1.0000e+00   4.0082e+00   3.8728e-03    82   9.84152e-06
1360   8.500000e+00   1.0000e+00   4.0083e+00   3.8361e-03    82   9.84942e-06
1370   8.562500e+00   1.0000e+00   4.0085e+00   3.8001e-03    82   9.85726e-06
1380   8.625000e+00   1.0000e+00   4.0087e+00   3.7647e-03    82   9.86505e-06
1390   8.687500e+00   1.0000e+00   4.0089e+00   3.7300e-03    82   9.87277e-06
1400   8.750000e+00   1.0000e+00   4.0091e+00   3.6960e-03    82   9.88043e-06
1410   8.812500e+00   1.0000e+00   4.0093e+00   3.6625e-03    82   9.88804e-06
1420   8.875000e+00   1.0000e+00   4.0095e+00   3.6297e-03    82   9.89558e-06
1430   8.937500e+00   1.0000e+00   4.0097e+00   3.5974e-03    82   9.90307e-06
1440   9.000000e+00   1.0000e+00   4.0099e+00   3.5657e-03    82   9.91050e-06
1450   9.062500e+00   1.0000e+00   4.0101e+00   3.5345e-03    82   9.91788e-06
1460   9.125000e+00   1.0000e+00   4.0103e+00   3.5038e-03    82   9.92519e-06
1470   9.187500e+00   1.0000e+00   4.0106e+00   3.4736e-03    82   9.93245e-06
1480   9.250000e+00   1.0000e+00   4.0108e+00   3.4439e-03    82   9.93966e-06
1490   9.312500e+00   1.0000e+00   4.0111e+00   3.4147e-03    82   9.94681e-06
1500   9.375000e+00   1.0000e+00   4.0113e+00   3.3859e-03    82   9.95390e-06
1510   9.437500e+00   1.0000e+00   4.0116e+00   3.3575e-03    82   9.96094e-06
1520   9.500000e+00   1.0000e+00   4.0118e+00   3.3296e-03    82   9.96793e-06
1530   9.562500e+00   1.0000e+00   4.0121e+00   3.3021e-03    82   9.97487e-06
1540   9.625000e+00   1.0000e+00   4.0123e+00   3.2749e-03    82   9.98175e-06
1550   9.687500e+00   1.0000e+00   4.0126e+00   3.2482e-03    82   9.98859e-06
1560   9.750000e+00   1.0000e+00   4.0129e+00   3.2218e-03    83   9.45903e-06
1570   9.812500e+00   1.0000e+00   4.0131e+00   3.1958e-03    83   9.47092e-06
1580   9.875000e+00   1.0000e+00   4.0134e+00   3.1702e-03    83   9.47727e-06
1590   9.937500e+00   1.0000e+00   4.0137e+00   3.1449e-03    83   9.48356e-06
1600   1.000000e+01   1.0000e+00   4.0140e+00   3.1199e-03    83   9.48981e-06
1610   1.006250e+01   1.0000e+00   4.0143e+00   3.0953e-03    83   9.49602e-06
1620   1.012500e+01   1.0000e+00   4.0146e+00   3.0709e-03    83   9.50218e-06
1630   1.018750e+01   1.0000e+00   4.0148e+00   3.0469e-03    83   9.50830e-06
1640   1.025000e+01   1.0000e+00   4.0151e+00   3.0232e-03    83   9.51438e-06
1650   1.031250e+01   1.0000e+00   4.0154e+00   2.9998e-03    83   9.52042e-06
1660   1.037500e+01   1.0000e+00   4.0157e+00   2.9766e-03    83   9.52642e-06
1670   1.043750e+01   1.0000e+00   4.0160e+00   2.9537e-03    83   9.53238e-06
1680   1.050000e+01   1.0000e+00   4.0163e+00   2.9311e-03    83   9.53831e-06
1690   1.056250e+01   1.0000e+00   4.0167e+00   2.9088e-03    83   9.54420e-06
1700   1.062500e+01   1.0000e+00   4.0170e+00   2.8867e-03    83   9.55006e-06
1710   1.068750e+01   1.0000e+00   4.0173e+00   2.8648e-03    83   9.55588e-06
1720   1.075000e+01   1.0000e+00   4.0176e+00   2.8432e-03    83   9.56166e-06
1730   1.081250e+01   1.0000e+00   4.0179e+00   2.8219e-03    83   9.56741e-06
1740   1.087500e+01   1.0000e+00   4.0182e+00   2.8008e-03    83   9.57313e-06
1750   1.093750e+01   1.0000e+00   4.0186e+00   2.7799e-03    83   9.57881e-06
1760   1.100000e+01   1.0000e+00   4.0189e+00   2.7592e-03    83   9.58446e-06
1770   1.106250e+01   1.0000e+00   4.0192e+00   2.7387e-03    83   9.59008e-06
1780   1.112500e+01   1.0000e+00   4.0195e+00   2.7185e-03    83   9.59567e-06
1790   1.118750e+01   1.0000e+00   4.0199e+00   2.6985e-03    83   9.60122e-06
1800   1.125000e+01   1.0000e+00   4.0202e+00   2.6786e-03    83   9.60675e-06
1810   1.131250e+01   1.0000e+00   4.0206e+00   2.6590e-03    83   9.61225e-06
1820   1.137500e+01   1.0000e+00   4.0209e+00   2.6396e-03    83   9.61772e-06
1830   1.143750e+01   1.0000e+00   4.0212e+00   2.6204e-03    83   9.62316e-06
1840   1.150000e+01   1.0000e+00   4.0216e+00   2.6013e-03    83   9.62857e-06
1850   1.156250e+01   1.0000e+00   4.0219e+00   2.5825e-03    83   9.63396e-06
1860   1.162500e+01   1.0000e+00   4.0223e+00   2.5638e-03    83   9.63932e-06
1870   1.168750e+01   1.0000e+00   4.0226e+00   2.5453e-03    83   9.64466e-06
1880   1.175000e+01   1.0000e+00   4.0230e+00   2.5270e-03    83   9.64997e-06
1890   1.181250e+01   1.0000e+00   4.0233e+00   2.5089e-03    83   9.65526e-06
1900   1.187500e+01   1.0000e+00   4.0237e+00   2.4909e-03    83   9.66052e-06
1910   1.193750e+01   1.0000e+00   4.0240e+00   2.4731e-03    83   9.66576e-06
1920   1.200000e+01   1.0000e+00   4.0244e+00   2.4555e-03    83   9.67098e-06
1930   1.206250e+01   1.0000e+00   4.0248e+00   2.4380e-03    83   9.67617e-06
1940   1.212500e+01   1.0000e+00   4.0251e+00   2.4207e-03    83   9.68134e-06
1950   1.218750e+01   1.0000e+00   4.0255e+00   2.4035e-03    83   9.68649e-06
1960   1.225000e+01   1.0000e+00   4.0259e+00   2.3865e-03    83   9.69161e-06
